overall,reviewText
5.0,"WOW, VERY GOOD STORY."
5.0,"Great First Novel!  Mr. Spriggs is a very talented story teller.  Although set in the late 1950's, Johnson road could be found in the rural south still today.  The well developed characters propel the story along, distracting you as the real horrific crime occurs.  The author makes you realize that no one should look through the glass window of a neighbor's house and watch what really happens behind closed doors.  In fact, you'll wonder what is really happening in your own neighborhood after this read- Eeeeek!!!!  It's rare to find a mystery with this many twists and turns that is unsolvable yet believable.  You won't be able to put it down and you won't want to either.  Johnson Road will stay with you for a while.  I can't wait to see what Mr. Spriggs comes up with next!"
4.0,"I was having trouble trying to put into words how I felt about reading this book.  I read through the reviews until I found one that described my reading experience.  The review was written by Bichon Mom.  Please read her review as she says it so much better than I do.

I was very confused reading the book. The story starts off in one time and next chapter it's an earlier time. When there was a crime what came first etc. etc.  I found I didn't want to read it but plugged on.  The ending was so abrupt I was left feeling empty and what the heck.  I do dislike books that go on and on and then just end.

And to be fair to the author books are a personal experience to the reader as much as to the author.  The reviews were mostly good and I gave it a 4 star because overall I think the author did a good job."
4.0,"A consistent theme in this book is the detectives complaint about the local hillbilly sheriffs useless reports. He notes they have a lot of information but they say nothing. That was the way I felt about reading this book. It was full of the detailed day-to-day lives of the folks on this street. It was boring at times but difficult to stop reading for some strange reason.

I was convinced that I would make my way to the end of the book and not worry anymore about the continuing saga of Johnson Street.  Unfortunately that is not the case. The book ended in such a way that I am getting ready to order part two. Very unexpected yet appreciated. If you put the effort in ....."
4.0,"Keeps you just a little off balance, while reading. Characters can be seen in the minds 're. Keeps you guessing til the end. Expect to be hearing about and  reading this author for a long time. He know mystery and drama ! Not a run of the mill mystery thriller writer, by any means !"
5.0,I really enjoyed this book. Keeps you wondering till the very end  I would recommend to any one who likes suspense
5.0,"This is a great story that had me truly hooked from the beginning. I really enjoy a Murder Mystery that can keep me guessing, and Clayton E Spriggs has certainly achieved that me for me with this wonderful book. Hes done a great job with the characters, and taking us through their lives and background. Its very interesting that so much can go on in one little street. Detective Robert Stallworths instincts are correct when he instructs the troopers to start digging. He just has that gut feeling that theres a body buried right where hes standing. Its still a shock though when they do un-earth a human skull. Purvis liked being a hermit after the war. So he was pretty happy when he found a block of land on Johnson Road all by itself, where he could build a house and hide away. Before long he found he wanted company and Sue and her son moved in with him, and marriage followed soon after. It would have been better for their relationship if Purvis explained to Sue that he was tired all the time from his nightmares from the war, and getting very little sleep. Its pretty much what the whole town think of Purvis, that hes an old man and very slow in everything he does. Johnson Road was not going to stay the quiet out of the way street, when developers started building houses. So it wasn't long before families started to move in and fill the street. As with all families though, there were things going on behind closed doors that not everyone could see. Like Sue cheating on Purvis, which half the town seemed to know about. The Jenkins dog suddenly disappearing maybe not such a coincidence when you have a couple of bored delinquent boys living in the street. Its not such a stretch from bullying other kids to harming animals. Maybe if Frank and Jacks father wasn't such a mean drunk, they might have grown up differently. Thomas and Gladys had a hard time conceiving, and when Elizabeth finally came into the world they showered her with love and affection. Hence Elizabeth had a much better temperament than Frank and Jack. With a town Sheriff that liked to do as little as possible, it was relative easy for the towns locals to get away with all sorts of indiscretions. Detective Stallworth however is a completely different man, and not one to sit back like the sheriff. Although its a mystery even for him when little Elizabeth disappears completely off the face of the earth. Johnson Road is now going to become the centre of attention like never before, and could there be a murderer living on the street? I really enjoyed the ending, and Im certainly looking forward to continuing the series with book two  Peterson County Murders. This is definitely an Author that Ill be adding to my list to watch out for."
5.0,Cliffhanger! Can't wait to read the 2nd book to get some answers to my questions about the killer. There are subtle hints throughout. Read closely!
5.0,"Wow!  This was a fantastic read, I really enjoyed it.  I didn't want it to end - I am glad there is a Part 2.  It kept me guessing... and I was totally surprised to find out who the bad guy was."
3.0,"The premise sounded interesting and this could have been a good mystery.  The writing isn't bad and the characterizations are well done.

The problem is that the chapters are disconcertingly out of sequence. Some chapters are dated and some are not.  It is difficult for a reader to determine the time frame of each, especially for the first third of the book.

Perhaps the author tried this technique as a way to create suspense but it can be very annoying trying to determine if the story is going forward or backward chapter by chapter.  There is also an extraordinary amount of redundancy in this book.

The ending was definitely rushed and left a lot of questions which the author probably plans to address in the next book in the series.  I don't plan to read it."
